"compartment","TF","logFC","P.Value","adj.P.Val","fdr_global"
"B_cell","ARID3B",1.05664357712855,0.0319912110943057,0.330468794631317,0.0853098962514817
"NK","SMARCA1",0.802147837458153,0.0327623690742535,0.145305007711978,0.0860012188199155
"NK","PPARA",0.622759991839835,0.0337315196474234,0.145305007711978,0.0871830046271866
"B_cell","SATB2",-1.00959877507048,0.0354073708533554,0.330468794631317,0.0901278530812683
"T_cell","PRDM2",0.41271774151251,0.0403717789021767,0.0471004087192061,0.101230729187547
"B_cell","ZBTB14",0.701230170574089,0.0414657411757179,0.331725929405744,0.10244477231648
"NK","E2F3",1.07137639221498,0.045278383656867,0.181113534627468,0.110243021077589
"T_cell","CEBPA",0.507499871208317,0.0487730603907724,0.055740640446597,0.117055344937854
"NK","E2F1",1.72190906610385,0.0527388734521232,0.19689179422126,0.124790573802207
"T_cell","SP2",0.420899669251398,0.0539752663176507,0.0604522982757688,0.125942288074518
"T_cell","MNT",0.287102638754555,0.0570005400280498,0.062588828266094,0.13117932499606
"B_cell","BACH2",-1.70534065932098,0.0650401690733831,0.351793164686021,0.147658762220654
"B_cell","SREBF2",1.17836064236479,0.0666290997743905,0.351793164686021,0.1483483431171
"B_cell","POU1F1",0.7698914452689,0.0671099647434501,0.351793164686021,0.1483483431171
"B_cell","NFE2L2",1.6441613971336,0.0691022287776113,0.351793164686021,0.150768499151152
"NK","E2F2",1.07304418291704,0.0731321033205666,0.255962361621983,0.157515299459682
"B_cell","SNAI2",-0.777445350096359,0.0775054218166305,0.354357979498574,0.164821656521442
"B_cell","BACH1",1.07090117992983,0.082261673812169,0.354357979498574,0.172749515005555
"T_cell","IKZF2",-0.514474133334846,0.0903851282350357,0.0973378304069615,0.187465451154148
"NK","IKZF2",-0.508134291019796,0.0937657628764238,0.296364844458858,0.189849220537566
"T_cell","ZFX",-0.293955199366697,0.0937945553846308,0.0991036811611193,0.189849220537566
"NK","SIM2",0.532554477249423,0.0952601285760616,0.296364844458858,0.190520257152123
"T_cell","BACH2",-0.381502670681331,0.0973067404757481,0.100910693826702,0.192323910587361
"B_cell","SIM2",0.763083219416533,0.0994250873460549,0.393012547953776,0.194225752024851
"B_cell","CTBP1",-0.645934056687321,0.105271218201904,0.393012547953776,0.203282352389884
"NK","NFE2L2",0.69400211352915,0.108273417162915,0.307424481768119,0.206703796401928
"NK","CEBPZ",0.656835577803575,0.114990128430462,0.307424481768119,0.215197137237683
"NK","SREBF2",0.751109116678152,0.115284180663045,0.307424481768119,0.215197137237683
"NK","MNT",0.362581451890245,0.126287820240575,0.321459906066919,0.233146745059523
"B_cell","SREBF1",0.721170907760411,0.138234037330731,0.483819130657557,0.24972893565641
"NK","SP2",0.447330145749669,0.138242803666941,0.336591174145596,0.24972893565641
"T_cell","PPARA",0.400721759658322,0.143586753892049,0.146197422144631,0.256623134615576
"B_cell","HCFC1",0.565371361362394,0.152516661373746,0.49170123110404,0.269713674850414
"B_cell","NR1H4",0.617768184469378,0.158046824283441,0.49170123110404,0.276581942496022
"B_cell","KAT6B",0.489747891184202,0.1811986641116,0.493192997976734,0.313828614131431
"B_cell","E2F4",1.0301440251568,0.190801491090699,0.493192997976734,0.324881513049931
"B_cell","PARK7",0.658106068421603,0.191448034475852,0.493192997976734,0.324881513049931
"B_cell","PPARA",0.577836265144666,0.193754392062288,0.493192997976734,0.325507378664644
"B_cell","VDR",-0.55190904826043,0.203032074366367,0.494338963674632,0.337716717757917
"NK","TBX10",0.577504166041397,0.206772998951825,0.431799017930079,0.340567292391241
"NK","ESR1",0.651919438498291,0.211904237373997,0.431799017930079,0.345563603425446
"NK","PDX1",0.305873982160926,0.213920325930038,0.431799017930079,0.345563603425446
"NK","ARID3B",0.562934479331841,0.21792864966182,0.431799017930079,0.348685839458911
"NK","OLIG2",0.389989637882773,0.222353985296943,0.431799017930079,0.351088921120718
"NK","SNAI2",-0.295712809857436,0.223610205713791,0.431799017930079,0.351088921120718
"NK","KLF15",0.27352297429273,0.242257953671252,0.434277409157174,0.37383039054922
