"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank"
"Myeloid","NK","S100A9","ITGB2",0.000529756819239944,253.5,0.273067432511809,373,0.986323832253768,216,1.405857816306,120,0.906215927666086,305
"Myeloid","Myeloid","HSP90B1","LRP1",0.000547006652758559,242.25,0.272745822069589,376,1.24879090547164,87,1.3439732114115,142,0.901983877489228,364
"Myeloid","Myeloid","THBS1","CD36",0.000550056872673896,543.75,0.652715386272837,76,1.15997067499128,114,1.62419696138111,68,0.79663071792648,1917
"Myeloid","B_cell","CD14","TLR9",0.000564534530683065,548.75,0.492917563173079,115,1.33134040057786,74,1.66952981283647,57,0.794187203838083,1949
"Myeloid","Myeloid","HLA-DQA1","CD4",0.000570657612484589,287.25,0.270610984144081,380,0.917455460776624,281,1.24341130600335,199,0.907381102404135,289
"Myeloid","Myeloid","GNAI2","C5AR1",0.000609473366178237,213.25,0.475473758719542,118,1.37681140913121,60,1.65086107597605,62,0.883534919173035,613
"Myeloid","Myeloid","GNAI2","FPR1",0.000624961779277219,187.25,0.475066129789935,119,1.43341479924011,50,1.8017794081915,41,0.890794106650301,539
"Myeloid","Myeloid","IL1B","IL1R2_IL1RAP",0.000640708011805964,550,0.685739010790246,71,1.14653913095784,120,1.66430814714468,58,0.793946428650069,1951
"Myeloid","Myeloid","VEGFA","NRP1",0.000672982126470053,601.25,0.677467265479888,74,1.24469651422771,90,1.39342761786169,122,0.781033415581646,2119
"T_cell","Myeloid","HMGB1","TLR2",0.000679834586751349,306.5,0.26655511546107,395,1.00577980013192,195,1.18091964335891,239,0.899853614306978,397
"B_cell","Myeloid","PSAP","LRP1",0.00068671022954658,240.25,0.265864333921613,398,1.27292870913893,82,1.37285432572733,134,0.903616840971302,347
"Myeloid","Myeloid","APP","FPR2",0.000706312073100237,624.5,0.727147308886799,60,1.13899983745229,124,1.39327358065918,123,0.775713883731329,2191
"NK","Myeloid","CCL5","CCR1",0.000707650339034593,338.25,0.376745701015904,196,0.824358540614682,372,0.980130734430948,401,0.900790473560993,384
"Myeloid","Myeloid","HBEGF","CD44",0.000714735643908958,334.75,0.268106895931277,391,0.925193677030912,266,1.10755235325709,280,0.899385565889413,402
"T_cell","Myeloid","HMGB1","CD163",0.000743610242128687,305.5,0.264499734867938,406,0.940336343986072,251,1.27898815137496,182,0.900818493074272,383
"Myeloid","Myeloid","C3","C3AR1",0.000758322394302798,632.5,0.853643979984558,29,1.13301728099452,127,1.41062363684955,118,0.771273101015172,2256
"Myeloid","Myeloid","MMP9","LRP1",0.000776204756338837,725.5,0.701312085274762,66,1.30497892949589,80,1.38442512299239,128,0.740560646477679,2628
"B_cell","Myeloid","HSP90B1","TLR2",0.000788551555430018,239,0.299151122143843,323,1.21537561510039,100,1.39983024353759,121,0.898701955826221,412
"Myeloid","T_cell","VCAN","CD44",0.000796235314108777,283.75,0.262960784461195,413,0.984411094152937,217,1.29668462118445,170,0.904221791332539,335
"NK","B_cell","CCL5","SDC1",0.000843523760679704,194,0.480858381905365,117,1.65271856353024,26,1.22097429293,214,0.898287776536337,419
"Myeloid","T_cell","CD14","ITGB2",0.000843523760679704,248.25,0.261264119391662,419,1.02667617434839,178,1.38459655775025,127,0.9089040315455,269
"B_cell","B_cell","LAMA5","SDC1",0.000850516334403605,528,0.474966983606341,120,1.72556942256631,18,1.37528532216753,132,0.801624962818215,1842
"Myeloid","B_cell","ICAM1","CAV1",0.000869799899559089,426.5,0.446469545755921,129,1.11545199519352,133,1.38320221872571,129,0.832298370440336,1315
"Myeloid","Myeloid","HLA-DRB5","CD4",0.000892887922919158,276,0.259540074473282,425,0.930001239644469,262,1.13066957734093,264,0.918315121869522,153
"Myeloid","NK","CFP","NCR1",0.000909228000473174,550.5,0.709408843526033,62,1.11122912054622,135,1.5539804653842,81,0.796159513966472,1924
"Myeloid","T_cell","S100A9","ITGB2",0.000909814237418129,295,0.259313222177991,427,0.940094988664367,252,1.30665936934691,162,0.903996559727163,339
"B_cell","Myeloid","HLA-DOB","CD4",0.000929376575731534,301.5,0.530809905928918,106,1.32322860031643,75,1.36921090935506,136,0.861094873671507,889
"Myeloid","Myeloid","LGALS3","ENG",0.000929376575731534,203.75,0.433549150210354,136,1.20718735188837,104,1.66047066604759,60,0.892695354737125,515
"Myeloid","T_cell","CXCL16","CXCR6",0.000949817523906456,243.75,0.589463278772544,90,1.10935608010692,137,1.85661808982585,32,0.873708936462782,716
"Myeloid","Myeloid","LY86","CD180",0.000970552859821605,567.75,0.431406751551975,138,1.22186835386225,99,1.52787020904645,86,0.794216474561092,1948
"Myeloid","T_cell","CD14","ITGA4",0.000988979263682449,236.5,0.316072703705116,284,1.0879187593153,149,1.57911115634903,77,0.897571424298424,436
"T_cell","Myeloid","HLA-G","LILRB2",0.00100725091507399,258.25,0.256037606650062,438,1.15543832022461,118,1.38672734217371,125,0.903081450191454,352
"Myeloid","Myeloid","TNFSF12","CD163",0.00101291474431477,596.25,0.550096846870041,97,1.10628042673096,140,1.50155780133164,92,0.785555243163531,2056
"B_cell","B_cell","COL4A4","SDC1",0.00104092564540588,773.5,0.880838009654913,23,1.93794255381248,12,1.24410651046515,197,0.715157872301013,2862
"Myeloid","Myeloid","CALR","LRP1",0.00105403767288033,253.25,0.255023941795843,443,1.14600327027395,121,1.21976105661862,215,0.91201244736531,234
"Myeloid","NK","S100A8","ITGB2",0.00106358721710742,310.25,0.277196807172733,362,0.921387167999351,276,1.31456217862601,159,0.897150407805839,444
"T_cell","Myeloid","RPS19","C5AR1",0.00106358721710742,281.25,0.254982465874599,444,1.00246361884012,196,1.13601106477779,261,0.912928353663185,224
"Myeloid","Myeloid","SEMA4A","LILRB2",0.00107871573639461,216.75,0.419682144526386,143,1.4588475417064,47,1.83336265046855,38,0.881319498236455,639
"Myeloid","Myeloid","GAS6","AXL",0.00114727463436891,611.25,0.415622560364872,146,1.10107954468574,141,1.40785732895039,119,0.786523210425463,2039
"T_cell","Myeloid","CD99","PILRA",0.00115248169627179,308.25,0.251841951909698,453,0.953273991915479,244,1.28822244362156,178,0.902293904687474,358
"B_cell","Myeloid","CIRBP","TREM1",0.00119372978143002,307,0.268846220628628,385,1.02847075582803,177,1.22560944779297,209,0.896477867977668,457
"Myeloid","Myeloid","LGALS3BP","CD33",0.00119453939699152,468.75,0.6164435050386,80,1.08889239643514,148,1.46107931324566,102,0.819494277473797,1545
"Myeloid","Myeloid","HMGB1","TLR2",0.0012042125267305,371,0.250962633962249,458,0.947135355837288,248,1.04270899504699,332,0.897104702583356,446
"Myeloid","B_cell","BST1","CAV1",0.00121864541285109,667.75,0.798320011446621,42,1.17942328716601,109,1.3281935058135,149,0.762654342886765,2371
"T_cell","Myeloid","HLA-A","LILRB2",0.00124306984063674,206.5,0.242255455841003,505,1.18565276940915,108,1.325159752215,150,0.924356795731187,63
"T_cell","Myeloid","HLA-F","LILRB2",0.00125766563047736,219.5,0.249127705560495,463,1.16037542787442,113,1.35035527368895,141,0.91773178336552,161
"Myeloid","Myeloid","HMGB1","CD163",0.00126856624396464,367,0.249027485478773,464,0.881691899691438,320,1.14077750306303,260,0.898093066875512,424
"Myeloid","Myeloid","HLA-G","LILRB2",0.00129057989525892,283,0.248808571585673,466,1.11581110466432,132,1.30194104481838,165,0.901820809215359,369
"Myeloid","Myeloid","LGALS9","HAVCR2",0.00130169354391711,427.75,0.248759444450608,467,0.725748084846968,459,0.939588091063615,431,0.902987712649656,354
"NK","Myeloid","RPS19","C5AR1",0.00133546546083632,310,0.248487191093068,470,0.939553436610259,253,1.10576372854189,282,0.911897313448881,235
"Myeloid","Myeloid","CD14","ITGB1",0.00141682021524137,244.75,0.307359038655922,298,1.14933722007564,119,1.52965988728113,85,0.895697302102041,477
"T_cell","Myeloid","HLA-A","LILRA1",0.00141682021524137,418,0.247474592823037,477,0.901129103645031,297,0.911865943484095,465,0.897726118872272,433
"Myeloid","Myeloid","HLA-B","LILRB2",0.0014501663833367,236,0.234811507583347,567,1.065832539502,158,1.31611209838466,158,0.924452873666938,61
"T_cell","Myeloid","HLA-C","LILRA3",0.00145280116051662,368.5,0.247235932447833,480,0.956637233668309,240,0.956241290768071,417,0.904079924897816,337
"NK","Myeloid","ANXA1","FPR1",0.00146494572279153,247.25,0.32018530493507,277,1.13845933958661,125,1.4535445199859,106,0.895358255015577,481
"Myeloid","Myeloid","HSP90B1","TLR2",0.00147716626745471,283,0.278207338520955,360,1.15781003998692,115,1.29153724339038,175,0.895349998701983,482
"T_cell","Myeloid","CSF1","CSF3R",0.00150526342464639,649.25,0.474246468540637,122,1.06204060873793,160,1.43082882672195,112,0.775107225088139,2203
"T_cell","Myeloid","CCL5","CCR1",0.00153941981879861,388.25,0.331656726019134,253,0.705013046147229,484,1.04669812508414,329,0.894947390196429,487
"Myeloid","Myeloid","TNFSF13B","CD40",0.00156172120330463,276.75,0.402249990626276,162,1.36079853343498,67,1.84982888902251,34,0.865047110928369,844
"NK","Myeloid","HLA-A","LILRA1",0.00156486423584463,440.25,0.245694762670222,489,0.85664868786421,347,0.888326385424965,484,0.897394288360705,441
"B_cell","B_cell","ST6GAL1","CD22",0.00159046528673779,318.75,0.401538132132256,163,1.36361390215151,65,1.32227454370463,152,0.860832884412619,895
"Myeloid","T_cell","S100A8","ITGB2",0.00160362064849321,362.25,0.263234603204848,408,0.87515832440995,330,1.21536373166691,219,0.894741425763664,492
"NK","Myeloid","HLA-C","LILRA3",0.00161669801730607,390.5,0.245290325545833,493,0.892226523811288,305,0.949761429959211,421,0.903736811618989,343
"Myeloid","Myeloid","HLA-DRB1","CD4",0.00162985520701723,303,0.244952734298541,494,0.886472904670881,311,1.06980346598754,315,0.921198420286717,92
"Myeloid","Myeloid","ALCAM","NRP1",0.00164899365976706,585.25,0.507796768936911,110,1.04772596502407,165,1.37727540956092,130,0.795204515806375,1936
"NK","Myeloid","CALR","LRP1",0.00165641034637219,287.75,0.244853753120928,496,1.08311599270846,152,1.16725705285275,249,0.910365846198026,254
"Myeloid","Myeloid","SPP1","ITGA5_ITGB1",0.00167878187063367,335.25,0.402455382776988,161,1.04271901798529,166,1.49234101629269,95,0.858848200753979,919
