"cell","compartment_call"
"B9_P2_M15","NK"
"B9_P6_M15","NK"
"C10_P2_M15","T_cell"
"C10_P4_M15","T_cell"
"C11_P1_M15","T_cell"
"C11_P2_M15","T_cell"
"C11_P3_M15","Myeloid"
"C11_P5_M15","T_cell"
"C11_P6_M15","T_cell"
"C12_P1_M15","T_cell"
"C12_P2_M15","T_cell"
"C12_P5_M15","NK"
"C12_P6_M15","T_cell"
"C1_P1_M15","T_cell"
"C1_P2_M15","NK"
"C1_P6_M15","NK"
"C2_P1_M15","NK"
"C2_P2_M15","T_cell"
"C2_P3_M15","T_cell"
"C2_P6_M15","T_cell"
"C3_P2_M15","T_cell"
"C3_P6_M15","NK"
"C4_P1_M15","T_cell"
"C4_P2_M15","T_cell"
"C4_P3_M15","Unassigned (all modules low)"
"C4_P6_M15","T_cell"
"C5_P1_M15","T_cell"
"C5_P2_M15","T_cell"
"C5_P5_M15","T_cell"
"C5_P6_M15","NK"
"C6_P1_M15","NK"
"C6_P2_M15","NK"
"C6_P5_M15","T_cell"
"C6_P6_M15","NK"
"C7_P1_M15","T_cell"
"C8_P1_M15","T_cell"
"C8_P2_M15","T_cell"
"C8_P6_M15","T_cell"
"C9_P1_M15","NK"
"C9_P5_M15","T_cell"
"D10_P1_M15","T_cell"
"D10_P2_M15","NK"
"D10_P4_M15","T_cell"
"D10_P5_M15","NK"
"D10_P6_M15","T_cell"
"D11_P1_M15","Myeloid"
"D11_P2_M15","Myeloid"
"D11_P3_M15","NK"
"D11_P5_M15","T_cell"
"D11_P6_M15","T_cell"
"D12_P1_M15","T_cell"
"D12_P2_M15","T_cell"
"D12_P5_M15","T_cell"
"D1_P1_M15","NK"
"D1_P2_M15","T_cell"
"D1_P4_M15","NK"
"D1_P6_M15","T_cell"
"D2_P2_M15","NK"
"D2_P3_M15","NK"
"D2_P5_M15","Myeloid"
"D3_P1_M15","B_cell"
"D3_P2_M15","T_cell"
"D3_P5_M15","T_cell"
"D3_P6_M15","T_cell"
"D4_P2_M15","T_cell"
"D4_P3_M15","NK"
"D4_P5_M15","T_cell"
"D4_P6_M15","T_cell"
"D5_P1_M15","T_cell"
"D5_P2_M15","B_cell"
"D5_P3_M15","T_cell"
"D5_P6_M15","T_cell"
"D6_P1_M15","T_cell"
"D6_P2_M15","T_cell"
"D6_P5_M15","T_cell"
"D6_P6_M15","T_cell"
"D7_P1_M15","T_cell"
"D7_P2_M15","T_cell"
"D7_P4_M15","B_cell"
"D7_P5_M15","NK"
"D8_P1_M15","T_cell"
"D8_P5_M15","T_cell"
"D8_P6_M15","T_cell"
"D9_P1_M15","NK"
"D9_P2_M15","NK"
"E10_P1_M15","T_cell"
"E10_P2_M15","T_cell"
"E10_P5_M15","T_cell"
"E10_P6_M15","NK"
"E11_P1_M15","T_cell"
"E11_P2_M15","T_cell"
"E11_P3_M15","T_cell"
"E11_P5_M15","T_cell"
"E11_P6_M15","T_cell"
"E12_P1_M15","T_cell"
"E12_P2_M15","T_cell"
"E12_P4_M15","T_cell"
"E12_P5_M15","T_cell"
"E12_P6_M14","T_cell"
"E1_P1_M15","T_cell"
"E1_P2_M15","T_cell"
"E1_P4_m15","NK"
"E1_P5_M15","T_cell"
"E2_P1_M15","T_cell"
"E2_P2_M15","NK"
"E2_P6_M15","NK"
"E3_P1_M15","T_cell"
"E3_P6_M15","T_cell"
"E4_P1_M15","NK"
"E4_P2_M15","T_cell"
"E4_P5_M15","NK"
"E5_P2_M15","T_cell"
"E5_P6_M15","T_cell"
"E6_P5_M15","T_cell"
"E7_P1_M15","T_cell"
"E8_P2_M15","NK"
"E8_P6_M15","T_cell"
"E9_P1_M15","T_cell"
"E9_P6_M15","Myeloid"
"F10_P1_M15","T_cell"
"F10_P2_M15","T_cell"
"F10_P5_M15","T_cell"
"F10_P6_M15","T_cell"
"F11_P1_M15","NK"
"F11_P2_M15","T_cell"
"F11_P5_M15","T_cell"
"F12_P1_M15","T_cell"
"F12_P2_M15","T_cell"
"F12_P6_M14","T_cell"
"F1_P1_M15","T_cell"
"F1_P2_M15","NK"
"F1_P4_M15","NK"
"F1_P6_M15","NK"
"F2_P1_M15","NK"
"F2_P5_M15","T_cell"
"F2_P6_M15","T_cell"
"F3_P1_M15","T_cell"
"F3_P4_M15","T_cell"
"F3_P5_M15","Unassigned (all modules low)"
"F3_P6_M15","Myeloid"
"F4_P5_M15","T_cell"
"F5_P1_M15","NK"
"F5_P5_M15","T_cell"
"F6_P2_M15","T_cell"
"F6_P3_M15","T_cell"
"F6_P5_M15","T_cell"
"F6_P6_M15","T_cell"
"F7_P1_M15","NK"
"F7_P6_M15","T_cell"
"F8_P5_M15","T_cell"
"F8_P6_M15","T_cell"
"F9_P6_M15","T_cell"
"G10_P1_M15","NK"
"G10_P6_M15","T_cell"
"G11_P1_M15","T_cell"
"G11_P5_M15","B_cell"
"G11_P6_M15","T_cell"
"G12_P1_M15","T_cell"
"G12_P2_M15","T_cell"
"G12_P6_M14","T_cell"
"G1_P1_M15","T_cell"
"G1_P2_M15","T_cell"
"G1_P4_M15","T_cell"
"G1_P5_M15","T_cell"
"G1_P6_M15","T_cell"
"G2_P1_M15","T_cell"
"G2_P2_M15","T_cell"
"G3_P1_M15","NK"
"G3_P3_M15","T_cell"
"G3_P4_M15","T_cell"
"G3_P5_M15","T_cell"
"G3_P6_M15","T_cell"
"G4_P1_M15","T_cell"
"G4_P2_M15","Myeloid"
"G4_P5_M15","NK"
"G5_P1_M15","T_cell"
"G5_P6_M15","NK"
"G6_P2_M15","T_cell"
"G6_P5_M15","T_cell"
"G6_P6_M15","T_cell"
"G7_P5_M15","T_cell"
"G7_P6_M15","T_cell"
"G8_P1_M15","T_cell"
"G8_P2_M15","T_cell"
"G8_P5_M15","T_cell"
"G8_P6_M15","T_cell"
"G9_P1_M15","Unassigned (all modules low)"
"G9_P5_M15","T_cell"
"G9_P6_M15","Myeloid"
"H10_P1_M15","T_cell"
"H10_P2_M15","T_cell"
"H10_P4_M15","T_cell"
"H10_P5_M15","T_cell"
"H10_P6_M15","Unassigned (all modules low)"
"H11_P1_M15","NK"
"H11_P2_M15","T_cell"
"H11_P3_M15","T_cell"
"H11_P6_M15","T_cell"
"H12_P1_M15","NK"
"H12_P2_M15","T_cell"
"H12_P5_M15","T_cell"
"H12_P6_M14","T_cell"
"H1_P1_M15","T_cell"
"H1_P2_M15","NK"
"H1_P4_M15","T_cell"
"H1_P6_M15","T_cell"
"H2_P1_M15","T_cell"
