"TF","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"E2F3",1.43018860679241,6.54978645430833,3.64429895909098,0.00167828266073919,0.0342006790864148,-1.15042441824817
"VDR",0.860887363664678,5.21181411521006,3.58024453652021,0.0019441067039708,0.0385751698629995,-1.28599468246935
"ZFX",-0.789197691467569,6.47669232849182,-3.52788342686146,0.00219198986534798,0.0410679517713531,-1.39654751960749
"CEBPZ",0.889891885951858,2.65296476089865,3.52779642248785,0.00219242667460097,0.0410679517713531,-1.39673099799122
"POU1F1",0.445137575389854,3.79961317036034,3.51186556493146,0.00227387302864021,0.0410679517713531,-1.43031383069265
"ARID3B",0.601924995082279,3.24800855961547,3.50923522143226,0.00228760474057935,0.0410679517713531,-1.43585620935135
"EP300",1.09685726887899,4.47879528874662,3.47412370275245,0.00247892556783705,0.0434676715848636,-1.50976965497283
"IKZF2",-0.943276151326562,3.96866263562635,-3.45817704275988,0.00257094370757641,0.0440566262616502,-1.54329466800602
"E2F2",1.31721276094853,4.43757842687357,3.42624712959217,0.00276541340593161,0.0452131220871779,-1.61033387375109
"ELF4",0.66065694287844,7.33815149205807,3.42434843394455,0.0027774227104222,0.0452131220871779,-1.61431652569476
"BACH2",-0.772943221654712,-1.66460762201534,-3.41794179929141,0.00281832458633602,0.0452131220871779,-1.62775168347406
"SP3",1.64414265883593,10.1352311700545,3.40318003038129,0.00291483580172924,0.0457872123854967,-1.65868895018965
"KLF3",-0.482529429408873,0.687010107254484,-3.39364246200635,0.0029789112316501,0.0458043826401936,-1.67866301011785
"EHF",0.865774679773897,3.6628234337803,3.38510706049554,0.00303742590452213,0.0458043826401936,-1.69652845666544
"CEBPE",0.573377169566383,4.9497704022144,3.3585876588756,0.00322652476733219,0.0471478746330008,-1.75197549605314
"SP2",0.891377707439735,2.73284888050495,3.34243066121745,0.00334734725894325,0.0471478746330008,-1.78571038987478
"IRF2",1.43909328580449,8.71734566851505,3.32586903724876,0.00347579836845441,0.0471478746330008,-1.82025253075228
"HCFC1",0.660295371471831,1.2993568186549,3.32549976663691,0.00347871678913577,0.0471478746330008,-1.82102226729487
"MNT",0.485444056668165,3.45174955140651,3.32286607721148,0.00349960112521532,0.0471478746330008,-1.82651157135092
"MAF",0.6366635144898,6.81124626274965,3.32260238055443,0.00350169891173481,0.0471478746330008,-1.82706113020692
"PAX2",-0.417243494874129,-0.288219113297728,-3.27404109966412,0.00390976941507881,0.0511148891823093,-1.92809158822584
"LRRFIP1",0.39789563865021,1.58755690829504,3.27154979942431,0.00393191455248533,0.0511148891823093,-1.93326508982056
"STAT3",1.81712849755408,15.4856546241144,3.22040010196313,0.00441465571155502,0.0554107407412473,-2.03926644226608
"CDX1",0.485886988632191,1.66648444804229,3.2134036189911,0.00448503192170644,0.0554107407412473,-2.05373256890965
"TBP",1.10309628569963,11.8337811887068,3.20863475507562,0.00453362712727165,0.0554107407412473,-2.0635880884564
"MYCN",0.790686710849085,9.34878635170674,3.20285473751958,0.00459321500092636,0.0554107407412473,-2.07552812713747
"GATA4",0.432215491793362,2.8746150250718,3.19633137415094,0.00466138401153219,0.0554107407412473,-2.08899686811291
"JUN",2.36185915413303,20.7035640349539,3.1900491964695,0.00472796462839359,0.0554107407412473,-2.10196069910116
"SOX3",0.256042986245801,0.614383317413662,3.18549706604234,0.00477678799493511,0.0554107407412473,-2.11135013790682
"TBPL2",0.455722726467494,4.59113740597429,3.16772295443125,0.00497217024083774,0.0568032782059342,-2.1479769160871
"IRF5",1.10962881426449,3.18759738574293,3.13937407648535,0.00530000645624354,0.0596448487762333,-2.20627710982062
"SP1",2.4558583563622,27.4741435922964,3.12000207260658,0.00553602741428104,0.0606492042831834,-2.24603037754143
"RELB",1.00135242550234,7.8365141701172,3.11876875202302,0.0055513948461545,0.0606492042831834,-2.24855886496686
"IRF6",0.626137713068383,3.94526308581266,3.11197632950466,0.00563677562389784,0.0606492042831834,-2.26247909581162
"USF2",0.907636415528508,8.48940251372724,3.10615224229579,0.00571099934231568,0.0606492042831834,-2.27440775421808
"IRF8",1.11188007801952,4.64623612006373,3.07938843554106,0.00606446455269957,0.0631195836541965,-2.32913872314153
"MYB",0.895035332182795,13.0459911071608,3.07597477369345,0.00611104722381478,0.0631195836541965,-2.33610926993374
"ZNF143",0.804232871590574,6.17153233738035,3.06489854273192,0.00626459538563023,0.063831147577908,-2.35871017846179
"KCNIP3",0.684585391682321,0.748594883158555,3.02145807102796,0.00690370044987819,0.0688107538105765,-2.44710406696401
"SPIC",0.847454887307359,1.96784376081856,3.01937827098956,0.00693583194907667,0.0688107538105765,-2.45132604567444
"HR",1.26513038378084,5.05923171176595,2.99341654412339,0.00734929793042727,0.0697023702067201,-2.50394858449062
"ARID1B",-0.77380163270743,1.80369679666495,-2.98540834887241,0.00748157507647354,0.0697023702067201,-2.52015045454158
"TEAD4",-0.580439100885933,3.30034929804281,-2.97725783277862,0.00761856336695177,0.0697023702067201,-2.53662541835131
"ZNF699",0.480461239226125,6.1671816636916,2.97426886693286,0.00766940433079459,0.0697023702067201,-2.54266335368586
"FOXM1",1.04393177731879,2.27072152666448,2.97372307429466,0.00767872331984172,0.0697023702067201,-2.54376567571848
"CREB3L3",0.398859017158438,1.04260912811452,2.97253522271685,0.00769904277295169,0.0697023702067201,-2.54616451080042
